Place,Address,Google,Simple Avg,Weighted Avg
La Terrace Restaurant & Lounge,"St President Hotel، 22 Taha Hussein, Abu Al Feda, Zamalek, Cairo Governorate 4271150",4.6,4.6/5,4.59/5
Cairo Vista Restaurant & Bar,"11613, 29 El Falaky Street, Ad Dawawin, Abdeen, Cairo Governorate 11613",4.9,4.9/5,4.85/5
Crimson Bar & Grill,"16 Kamal Al Tawil, Mohammed Mazhar, Zamalek, Cairo Governorate 4271183",4.4,4.4/5,4.4/5
Dahabiya Cairo,"106 Nile St, Ad Doqi A, Dokki, Giza Governorate 3753452",4.8,4.8/5,4.79/5
Footer links,"El-Khalifa El-Maamoun, St، Heliopolis, Cairo Governorate 11757",4.2,4.2/5,4.2/5
Elrashedy hotel,"4 Atfet Al Sat Badrya, El-Gamaleya, El Gamaliya, Cairo Governorate 4331330",4.1,4.1/5,4.04/5
Footer links,"1115 Nile Corniche, Sharkas, Bulaq, Cairo Governorate 12344",4.2,4.2/5,4.2/5
Footer links,"Abi Emama, Ad Doqi A, Dokki, Giza Governorate 3750352",4.1,4.1/5,4.1/5
Footer links,"Kasr Al Nile, Zamalek, Cairo Governorate 4270024",4.3,4.3/5,4.3/5
Footer links,"El-Tahrir Square, Ismailia, Qasr El Nil, Cairo Governorate 4272083",4.5,4.5/5,4.5/5
Footer links,"El-Gamaleya, El Gamaliya, Cairo Governorate 4331302",4.4,4.4/5,4.4/5
New Downtown du Cairo,"26WQ+W8C, تقاطع شارعي طلعت حرب مع, Mohammed Sabri Abou Alam, Bab Al Louq, Qasr El Nil, Cairo Governorate 4280124",4.2,4.2/5,4.09/5
